SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,BIRTHS2010,BIRTHS2011,BIRTHS2012,DEATHS2010,DEATHS2011,DEATHS2012,NATURALINC2010,NATURALINC2011,NATURALINC2012,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,NETMIG2010,NETMIG2011,NETMIG2012,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,GQESTIMATESBASE2010,GQESTIMATES2010,GQESTIMATES2011,GQESTIMATES2012,RBIRTH2011,RBIRTH2012,RDEATH2011,RDEATH2012,RNATURALINC2011,RNATURALINC2012,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RDOMESTICMIG2011,RDOMESTICMIG2012,RNETMIG2011,RNETMIG2012
50,1,2,36,43,New York,Herkimer County,64519,64520,64471,64612,64508,-49,141,-104,163,650,647,150,639,647,13,11,0,6,32,35,-47,32,-136,-41,64,-101,-21,66,-3,1426,1426,1422,1422,10.07103956,10.02168525,9.900606587,10.02168525,0.170432977,0,0.495805025,0.542131351,0.495805025,-2.106567534,0.991610049,-1.564436183
50,1,2,36,45,New York,Jefferson County,116229,116229,116572,118163,120262,343,1591,2099,503,2117,2039,233,914,909,270,1203,1130,139,163,829,-45,114,146,94,277,975,-21,111,-6,6170,6170,6118,6276,18.03736128,17.10391108,7.787505059,7.625039321,10.24985622,9.478871763,1.388800136,6.953968753,0.971308071,1.224703785,2.360108207,8.178672539
50,1,2,36,47,New York,Kings County,2504700,2504700,2509723,2540230,2565635,5023,30507,25405,10306,42233,41211,3619,16034,16099,6687,26199,25112,4356,19651,20334,-5854,-16072,-19930,-1498,3579,404,-166,729,-111,35609,35609,35455,35420,16.72609626,16.14261247,6.35015811,6.30608134,10.37593815,9.836531127,7.78264669,7.964957945,-6.365207755,-7.80670856,1.417438935,0.158249386
50,1,2,36,49,New York,Lewis County,27087,27087,27072,27089,27224,-15,17,135,93,321,348,71,265,261,22,56,87,2,7,17,-35,-68,34,-33,-61,51,-4,22,-3,313,313,313,313,11.85354776,12.8146116,9.785639113,9.610958702,2.067908643,3.203652901,0.25848858,0.626001142,-2.511031923,1.252002283,-2.252543343,1.878003425
50,1,2,36,51,New York,Livingston County,65393,65392,65318,64892,64810,-74,-426,-82,142,565,537,149,519,502,-7,46,35,0,38,38,-66,-495,-151,-66,-457,-113,-1,-15,-4,5758,5758,5591,5781,8.678288918,8.280519961,7.971737962,7.740821267,0.706550956,0.539698694,0.583672529,0.585958582,-7.60310268,-2.328414365,-7.019430151,-1.742455783
50,1,2,36,53,New York,Madison County,73442,73440,73394,72867,72382,-46,-527,-485,166,658,662,160,587,563,6,71,99,2,14,16,-43,-602,-601,-41,-588,-585,-11,-10,1,5133,5133,4735,4677,8.997613855,9.115381173,8.026746706,7.752204835,0.970867149,1.363176339,0.191438593,0.220311327,-8.231859484,-8.275444237,-8.040420891,-8.05513291
50,1,2,36,55,New York,Monroe County,744344,744344,744569,746945,747813,225,2376,868,2133,8601,8353,1521,6278,6305,612,2323,2048,451,1942,1999,-857,-1696,-3185,-406,246,-1186,19,-193,6,26283,26283,26485,26488,11.53324743,11.1763911,8.418291749,8.436148193,3.114955676,2.740242902,2.604065399,2.67468045,-2.274199236,-4.261559396,0.329866163,-1.586878946
50,1,2,36,57,New York,Montgomery County,50219,50219,50246,49987,49941,27,-259,-46,157,580,589,152,570,572,5,10,17,16,102,105,11,-351,-165,27,-249,-60,-5,-20,-3,920,920,964,964,11.57303483,11.78848771,11.37349975,11.44824274,0.199535083,0.340244976,2.035257849,2.101513089,-7.003681422,-3.302377712,-4.968423573,-1.200864623
50,1,2,36,59,New York,Nassau County,1339532,1339529,1341285,1345827,1349233,1756,4542,3406,3562,14430,14092,2529,10751,10748,1033,3679,3344,660,3141,3287,175,-2008,-3053,835,1133,234,-112,-270,-172,21666,21666,21741,21741,10.74015523,10.45765215,8.001899437,7.976074744,2.738255793,2.481577405,2.337825889,2.43927779,-1.494541351,-2.265626739,0.843284538,0.17365105
50,1,2,36,61,New York,New York County,1585873,1585873,1588032,1606099,1619090,2159,18067,12991,4964,19952,19713,2206,10278,10477,2758,9674,9236,2740,12641,12960,-3183,-4239,-9024,-443,8402,3936,-156,-9,-181,67373,67373,67185,67124,12.49291278,12.22439987,6.435553207,6.496983588,6.057359576,5.727416285,7.915141865,8.036738312,-2.654243048,-5.595951121,5.260898817,2.440787191
